Season,Club,First Name,Last Name,Position,Total Compensation,Base Salary
2011,DC United,Chris,Pontius,M-F,"$136,250.00","$125,000.00"
2011,Seattle Sounders FC,John Kennedy,Hurtado,D,"$136,000.00","$135,000.00"
2011,Real Salt Lake,Anthony,Beltran,D,"$135,500.00","$100,000.00"
2011,Philadelphia Union,Jack,McInerney,F,"$135,417.00","$71,250.00"
2011,Real Salt Lake,Chris,Wingert,D,"$135,000.00","$135,000.00"
2011,Seattle Sounders FC,Brad,Evans,F,"$134,750.00","$121,000.00"
2011,Real Salt Lake,Robbie,Russell,D-M,"$134,001.00","$128,250.00"
2011,Sporting Kansas City,Roger,Espinoza,M,"$133,750.00","$100,000.00"
2011,Vancouver Whitecaps,Camilo,Sanvezzo,F,"$133,545.00","$127,920.00"
2011,Columbus Crew SC,Danny,O'Rourke,D,"$133,500.00","$121,000.00"
2011,FC Dallas,Josh,Lambo,GK,"$133,000.00","$100,000.00"
2011,Toronto FC,Eric,Avila,M,"$133,000.00","$100,000.00"
2011,Toronto FC,Adrian,Cann,D,"$132,746.00","$123,996.00"
2011,Chivas USA,Zarek,Valentin,D,"$132,000.00","$80,000.00"
2011,Toronto FC,Ryan,Johnson,M,"$131,250.00","$131,250.00"
2011,FC Dallas,Jeremy,Hall,M,"$129,000.00","$80,000.00"
2011,Toronto FC,Peri,Marosevic,F,"$129,000.00","$80,000.00"
2011,FC Dallas,Brek,Shea,M-D,"$128,000.00","$100,000.00"
2011,Portland Timbers,Kevin,Goldthwaite,D,"$126,667.00","$110,000.00"
2011,FC Dallas,Maicon,Santos,F,"$126,000.00","$126,000.00"
2011,New York Red Bulls,Mehdi,Ballouchy,M,"$125,625.00","$125,625.00"
2011,Chicago Fire FC,Marco,Pappa,M,"$125,000.00","$120,000.00"
2011,Houston Dynamo,Will,Bruin,F,"$125,000.00","$80,000.00"
2011,New York Red Bulls,Joel,Lindpere,M,"$125,000.00","$90,000.00"
2011,Philadelphia Union,Zac,MacMath,GK,"$125,000.00","$80,000.00"
2011,Chicago Fire FC,Baggio,Husidic,M,"$124,500.00","$82,500.00"
2011,Chivas USA,Ante,Jazic,D,"$123,500.00","$115,000.00"
2011,Houston Dynamo,Danny,Cruz,M,"$123,000.00","$80,000.00"
2011,Columbus Crew SC,Emilio,Renteria,F,"$121,875.00","$120,000.00"
2011,Vancouver Whitecaps,Omar,Salgado,F,"$121,869.00","$80,000.00"
2011,Houston Dynamo,Eddie,Robinson,D,"$120,000.00","$120,000.00"
2011,New York Red Bulls,Brian,Nielsen,M,"$120,000.00","$120,000.00"
2011,Real Salt Lake,Ned,Grabavoy,M,"$118,125.00","$118,125.00"
2011,FC Dallas,Andrew,Wiedeman,F,"$118,000.00","$75,000.00"
2011,DC United,Santino,Quaranta,M-F,"$117,500.00","$115,000.00"
2011,Chicago Fire FC,Josip,Mikulic,D,"$116,250.00","$110,000.00"
2011,Sporting Kansas City,Craig,Rocastle,M,"$116,063.00","$110,000.00"
2011,Columbus Crew SC,Sebastian,Miranda,D,"$115,000.00","$110,000.00"
2011,Portland Timbers,Jorge,Perlaza,F,"$115,000.00","$100,000.00"
2011,San Jose Earthquakes,Sam,Cronin,M,"$111,250.00","$63,250.00"
2011,LA Galaxy,Sean,Franklin,D,"$111,139.00","$97,389.00"
2011,Houston Dynamo,Kofi,Sarkodie,D,"$110,500.00","$65,000.00"
2011,Seattle Sounders FC,Erik,Friberg,M,"$110,000.00","$110,000.00"
2011,Seattle Sounders FC,Leonardo,Gonzalez,D,"$110,000.00","$110,000.00"
2011,Philadelphia Union,Roger,Torres,M,"$108,725.00","$105,600.00"
2011,Chicago Fire FC,Sean,Johnson,GK,"$108,000.00","$75,000.00"
2011,Chivas USA,Tristan,Bowen,F,"$106,364.00","$75,000.00"
2011,FC Dallas,Daniel,Cruz,M,"$106,250.00","$90,000.00"
2011,San Jose Earthquakes,Chris,Leitch,D,"$106,050.00","$106,050.00"
2011,FC Dallas,Jackson,Goncalves,D,"$105,375.00","$84,000.00"
2011,LA Galaxy,Mike,Magee,F,"$105,350.00","$102,850.00"
2011,LA Galaxy,Brian,Perk,GK,"$105,350.00","$71,250.00"
2011,New England Revolution,Franco,Coria,D,"$105,000.00","$100,000.00"
2011,New York Red Bulls,Chris,Albright,D,"$104,133.00","$100,800.00"
2011,Toronto FC,Eddy,Viator,D,"$101,875.00","$90,000.00"
2011,New York Red Bulls,Carlos,Mendes,D,"$101,300.00","$98,175.00"
2011,FC Dallas,Chris,Seitz,GK,"$100,000.00","$100,000.00"
2011,LA Galaxy,Juninho,Gomes,M,"$100,000.00","$90,000.00"
2011,LA Galaxy,Leonardo,Ribeiro Da Silva,D,"$100,000.00","$90,000.00"
2011,Seattle Sounders FC,O'Brian,White,F,"$100,000.00","$100,000.00"
2011,Toronto FC,Dasan,Robinson,D,"$100,000.00","$97,500.00"
2011,New York Red Bulls,Roy,Miller,M,"$99,996.00","$99,996.00"
2011,San Jose Earthquakes,David,Bingham,GK,"$99,500.00","$60,000.00"
2011,Chivas USA,Mariano,Trujillo,M,"$99,225.00","$99,225.00"
2011,Real Salt Lake,Andy,Williams,M,"$99,225.00","$99,225.00"
2011,Sporting Kansas City,Milos,Stojcev,M,"$99,000.00","$90,000.00"
2011,New England Revolution,Kheli,Dube,F,"$99,000.00","$90,000.00"
2011,Houston Dynamo,Colin,Clark,M,"$98,713.00","$93,713.00"
2011,Seattle Sounders FC,James,Riley,D,"$97,963.00","$92,000.00"
2011,DC United,Marc,Burch,D,"$97,500.00","$95,000.00"
2011,Houston Dynamo,Cam,Weaver,F,"$97,500.00","$89,250.00"
2011,Chicago Fire FC,Dominic,Oduro,F,"$97,004.00","$95,004.00"
