Club,Year,Total Salary,Average,Highest,Lowest
Philadelphia Union,2017,5633567.0,244937.69565217392,1197250.0,53004.0
Philadelphia Union,2018,7552085.0,328351.52173913043,1714286.0,54500.0
Philadelphia Union,2019,8485527.0,368935.95652173914,2274087.0,56250.0
Portland Timbers,2011,1954055.0,97702.75,267500.0,32604.0
Portland Timbers,2012,3740485.0,170022.04545454544,1515000.0,33750.0
Portland Timbers,2013,3226213.0,129048.52,400000.0,35125.0
Portland Timbers,2014,4632211.0,201400.47826086957,1200000.0,36500.0
Portland Timbers,2015,5465308.0,248423.0909090909,1150000.0,50000.0
Portland Timbers,2016,6957998.0,267615.3076923077,1140000.0,51504.0
Portland Timbers,2017,9841691.0,410070.4583333333,2607500.0,53000.0
Portland Timbers,2018,11939642.0,459217.0,2380000.0,54500.0
Portland Timbers,2019,11940166.0,542734.8181818182,2853341.0,57225.0
Real Salt Lake,2010,1916897.0,112758.64705882352,252500.0,40000.0
Real Salt Lake,2011,2594037.0,152590.41176470587,452500.0,32600.0
Real Salt Lake,2012,2622842.0,174856.13333333333,477500.0,44000.0
Real Salt Lake,2013,3234185.0,140616.73913043478,453333.0,35125.0
Real Salt Lake,2014,3281250.0,156250.0,453333.0,40250.0
Real Salt Lake,2015,3036055.0,168669.72222222222,700000.0,50000.0
Real Salt Lake,2016,3263466.0,171761.36842105264,750000.0,51500.0
Real Salt Lake,2017,7300214.0,317400.60869565216,1973750.0,53000.0
Real Salt Lake,2018,6678924.0,290388.0,1013333.0,54504.0
Real Salt Lake,2019,10188801.0,424533.375,2001667.0,56250.0
San Jose Earthquakes,2010,2072034.0,109054.42105263157,307500.0,40000.0
San Jose Earthquakes,2011,2387699.0,103813.0,336000.0,32600.0
San Jose Earthquakes,2012,2428238.0,110374.45454545454,300000.0,33756.0
San Jose Earthquakes,2013,3010106.0,130874.17391304347,600000.0,35125.0
San Jose Earthquakes,2014,3291384.0,156732.57142857142,650000.0,48500.0
San Jose Earthquakes,2015,4279627.0,194528.5,1300000.0,50000.0
San Jose Earthquakes,2016,6394225.0,266426.0416666667,1300000.0,51500.0
San Jose Earthquakes,2017,5977430.0,259888.26086956522,800000.0,53004.0
San Jose Earthquakes,2018,5976457.0,249019.04166666666,800000.0,54500.0
San Jose Earthquakes,2019,8047272.0,321890.88,800000.0,57225.0
Seattle Sounders FC,2010,2162596.0,113820.84210526316,480000.0,40000.0
Seattle Sounders FC,2011,2343759.0,106534.5,656000.0,32604.0
Seattle Sounders FC,2012,3399614.0,147809.30434782608,756000.0,33750.0
Seattle Sounders FC,2013,9065329.0,394144.73913043475,5038567.0,35125.0
Seattle Sounders FC,2014,10915387.0,474582.04347826086,6695189.0,36500.0
Seattle Sounders FC,2015,12504455.0,500178.2,4605942.0,50000.0
Seattle Sounders FC,2016,9883717.0,449259.86363636365,4605942.0,51500.0
Seattle Sounders FC,2017,9543788.0,433808.54545454547,3892934.0,53000.0
Seattle Sounders FC,2018,7478705.0,356128.8095238095,1650000.0,54500.0
Seattle Sounders FC,2019,7930535.0,360478.86363636365,1087500.0,57225.0
Sporting Kansas City,2010,2431066.0,127950.84210526316,244000.0,40000.0
